Date (month/day/year),Time,1,2,3,4,5,6,7,8,9,10,11
7/1/2012,0:00:00,3.570531129,53.0915323,5.046159818,0.64540882,3.983360085,2.6213023,1.059979649,0.407314931,1.909899356,1.487826652,1.937999909
7/1/2012,0:30:00,10.36072363,49.4638325,4.954027573,0.664805028,2.864562693,2.404327559,1.124189657,0.421627608,0.461905727,1.40655295,1.946107282
7/1/2012,1:00:00,9.765395447,47.80295789,4.954027573,0.64540882,2.843734018,2.529944514,1.053805609,0.418324683,0.495826515,1.334840861,1.954214655
7/1/2012,1:30:00,8.195109506,66.68447976,4.923316825,0.658986165,2.626520695,2.141673925,0.980951945,0.406213956,0.438585186,1.444799398,1.832604063
7/1/2012,2:00:00,7.677432822,9.908792483,4.954027573,0.600797541,2.745541694,2.427167005,1.055040417,0.419425658,0.514906958,1.27747119,1.873140927
7/1/2012,2:30:00,8.134713893,9.865085257,4.984738322,0.653167303,2.59974097,2.175933095,0.969838675,0.420526633,0.629389617,1.401772144,1.946107282
7/1/2012,3:00:00,8.264133064,9.733963577,5.061515192,0.594978679,2.808027718,2.58704313,1.050101186,0.407314931,0.485226269,1.344402473,1.921785164
7/1/2012,3:30:00,13.72562208,10.21474307,4.938672199,0.600797541,2.58188782,2.26729088,0.964899443,0.407314931,0.553067844,1.377868115,1.783959826
7/1/2012,4:00:00,8.721414135,10.12732862,5.061515192,0.633771095,2.683055669,2.438586729,1.04763157,0.435940285,0.457665629,1.416114562,1.937999909
7/1/2012,4:30:00,3.639554687,12.5749333,5.09222594,0.585280575,2.718761969,2.095995032,0.973543098,0.406213956,0.464025777,1.325279249,1.937999909
7/1/2012,5:00:00,4.19174315,10.03991416,5.138292063,0.602737162,2.513450746,2.392907836,1.036518299,0.407314931,0.495826515,1.411333756,1.759637707
7/1/2012,5:30:00,8.652390577,11.0888876,5.122936689,0.616314508,2.816954293,1.94753863,0.980951945,0.430435409,0.436465136,1.401772144,3.243286932
7/1/2012,6:00:00,5.891448262,10.21474307,5.122936689,0.600797541,2.567010195,2.495685345,1.027874644,0.411718832,0.521267106,1.707743725,1.946107282
7/1/2012,6:30:00,3.397972234,9.559134671,4.938672199,0.627952233,2.620569645,1.9817978,0.988360793,0.406213956,0.444945333,1.602565994,1.8812483
7/1/2012,7:00:00,3.855253305,9.471720218,5.076870566,0.600797541,2.751492744,2.644141747,1.022935413,0.407314931,0.438585186,1.435237786,1.82449669
7/1/2012,7:30:00,3.415228124,9.777670804,5.153647437,0.569763609,2.950852917,2.404327559,0.998239255,0.442546136,0.51066686,1.492607457,1.937999909
7/1/2012,8:00:00,4.873350784,10.4332792,5.061515192,0.798638863,5.268786876,4.037347979,0.998239255,0.406213956,0.438585186,1.564319547,2.019073637
7/1/2012,8:30:00,5.865564428,9.777670804,4.969382947,0.761786067,5.018842778,2.998153166,1.000708871,0.407314931,0.468265875,1.468703428,3.097354221
